datetime,CH1_V,CH1_T_C,CH2_V,CH2_T_C,CH3_V,CH3_T_C,CH4_V,CH4_T_C
2026_05_08_20_33_10.005,2.083600,37.625,2.021200,35.671,1.631200,24.488,,
2026_05_08_20_33_11.000,2.083600,37.625,2.020400,35.646,1.632000,24.510,,
2026_05_08_20_33_12.000,2.083200,37.612,2.020400,35.646,1.633900,24.561,,
2026_05_08_20_33_13.000,2.083500,37.622,2.021300,35.674,1.633900,24.561,,
2026_05_08_20_33_14.000,2.084400,37.650,2.022700,35.717,1.632800,24.532,,
2026_05_08_20_33_15.005,2.084900,37.666,2.022500,35.711,1.631500,24.496,,
2026_05_08_20_33_16.000,2.084800,37.663,2.022400,35.708,1.630400,24.466,,
2026_05_08_20_33_17.000,2.085200,37.676,2.023600,35.745,1.630100,24.458,,
2026_05_08_20_33_18.012,2.085700,37.692,2.024000,35.757,1.630000,24.455,,
2026_05_08_20_33_19.000,2.086100,37.705,2.024400,35.769,1.629900,24.453,,
2026_05_08_20_33_20.000,2.085700,37.692,2.025700,35.810,1.629700,24.447,,
2026_05_08_20_33_21.007,2.085600,37.689,2.026800,35.844,1.629700,24.447,,
2026_05_08_20_33_22.002,2.085600,37.689,2.026300,35.828,1.630700,24.474,,
2026_05_08_20_33_23.000,2.085600,37.689,2.025900,35.816,1.630400,24.466,,
2026_05_08_20_33_24.000,2.084900,37.666,2.025200,35.794,1.630300,24.464,,
2026_05_08_20_33_25.000,2.084500,37.654,2.025900,35.816,1.630300,24.464,,
2026_05_08_20_33_26.005,2.084700,37.660,2.026400,35.831,1.629600,24.445,,
2026_05_08_20_33_27.000,2.084500,37.654,2.026800,35.844,1.628300,24.409,,
2026_05_08_20_33_28.000,2.085600,37.689,2.026500,35.834,1.627100,24.377,,
2026_05_08_20_33_29.000,2.085700,37.692,2.026700,35.840,1.627100,24.377,,
2026_05_08_20_33_30.007,2.086500,37.717,2.026000,35.819,1.627700,24.393,,
2026_05_08_20_33_31.000,2.086700,37.724,2.025100,35.791,1.628400,24.412,,
2026_05_08_20_33_32.003,2.086400,37.714,2.024700,35.779,1.628400,24.412,,
2026_05_08_20_33_33.006,2.086900,37.730,2.024700,35.779,1.628700,24.420,,
2026_05_08_20_33_34.000,2.087300,37.743,2.025200,35.794,1.628800,24.423,,
2026_05_08_20_33_35.006,2.088000,37.765,2.024300,35.766,1.628300,24.409,,
2026_05_08_20_33_36.004,2.087700,37.756,2.023600,35.745,1.628400,24.412,,
2026_05_08_20_33_37.008,2.086800,37.727,2.022900,35.723,1.628000,24.401,,
2026_05_08_20_33_38.009,2.086900,37.730,2.022900,35.723,1.628300,24.409,,
2026_05_08_20_33_39.005,2.087100,37.736,2.023700,35.748,1.627900,24.398,,
2026_05_08_20_33_40.000,2.086900,37.730,2.023300,35.735,1.628000,24.401,,
2026_05_08_20_33_41.002,2.086800,37.727,2.025100,35.791,1.627900,24.398,,
2026_05_08_20_33_42.006,2.087200,37.740,2.025300,35.797,1.626900,24.371,,
2026_05_08_20_33_43.000,2.088100,37.768,2.024400,35.769,1.626500,24.360,,
2026_05_08_20_33_44.005,2.088700,37.788,2.024000,35.757,1.626500,24.360,,
2026_05_08_20_33_45.008,2.089500,37.813,2.023200,35.732,1.627200,24.379,,
2026_05_08_20_33_46.005,2.089200,37.803,2.022000,35.695,1.628100,24.404,,
2026_05_08_20_33_47.000,2.088700,37.788,2.020800,35.658,1.628800,24.423,,
2026_05_08_20_33_48.000,2.088400,37.778,2.020500,35.649,1.627700,24.393,,
